Week,light_therapy,winter_blues,Seasonal_affective_disorder
12/3/17,32,4,83
12/10/17,25,6,88
12/17/17,29,0,85
12/24/17,28,0,80
12/31/17,26,0,73
1/7/18,24,9,98
1/14/18,21,5,95
1/21/18,26,4,100
1/28/18,16,6,89
2/4/18,31,5,90
2/11/18,22,7,82
2/18/18,44,12,62
2/25/18,33,0,59
3/4/18,22,5,57
3/11/18,17,4,38
3/18/18,16,0,31
3/25/18,30,10,26
4/1/18,21,0,22
4/8/18,20,0,11
4/15/18,27,0,19
4/22/18,21,0,0
4/29/18,17,0,17
5/6/18,27,0,14
5/13/18,20,0,8
5/20/18,18,0,18
5/27/18,8,4,20
6/3/18,22,0,6
6/10/18,30,0,11
6/17/18,10,0,9
6/24/18,21,0,9
7/1/18,4,0,6
7/8/18,16,0,9
7/15/18,9,6,14
7/22/18,20,0,6
7/29/18,15,0,8
8/5/18,0,0,6
8/12/18,28,4,8
8/19/18,12,9,0
8/26/18,23,0,0
9/2/18,7,0,20
9/9/18,28,11,20
9/16/18,16,0,13
9/23/18,23,0,20
9/30/18,25,8,27
10/7/18,15,0,18
10/14/18,32,6,31
10/21/18,12,7,46
10/28/18,20,0,34
11/4/18,31,0,76
11/11/18,29,8,59
11/18/18,40,0,44
11/25/18,26,0,71